10.0.2.15,57188,82.161.239.177,110,6,7248168,21126.02798,29.11080428,34515.08571,273869.2625,3897923,5,89483.55556,437167.5917,3898126,29,56614.03906,349855.1098,3898131,7,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,5157723,1052.790156,3.683796125,286540.1667,878838.5256,3743359,135,644715.375,1272066.058,3743562,509,568901.6667,1209110.287,3743573,451,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,41,13243902.44,48780.4878,41,0,41,41,41,0,41,41,0,0,0,0,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,9543565,63738.55053,83.93090004,11929.45625,90072.19252,2007954,5,31705.29568,145580.2122,2007978,28,19163.23695,114109.3263,2008877,5,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,9987537,199616.5821,245.8063485,4069.900978,20365.73323,608241,5,11743.34471,34008.57232,608450,31,6230.089208,25332.11998,608241,5,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,8187417,161429.9113,197.3760467,5069.60805,27921.42519,740503,5,14751.72613,46774.3706,740503,27,7731.212465,34986.18623,778531,5,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,45,12066666.67,44444.44444,45,0,45,45,45,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,9985157,184043.676,223.6319369,4473.636649,50720.53248,2080569,0,13001.50651,86230.38636,2080569,0,6824.894053,62654.35912,2080801,0,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,6371440,267953.3983,327.8693671,3051.455939,18618.77891,541474,4,8848.969444,31296.73113,541474,32,4660.294806,23673.30769,580582,4,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,858001,1265.732791,4.661999228,286000.3333,495294.3622,857917,37,429000.5,606631.8573,857954,47,0,0,0,0,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,9990797,134103.1151,166.553279,6007.695129,63031.57022,2342960,4,17166.28179,106139.3968,2342960,8,9250.416667,79222.56839,2383866,4,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,9717897,333989.4424,405.5404168,2466.47132,17279.78301,488943,3,7171.787454,29241.69716,489178,20,3760.777477,21586.70379,488943,3,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,713119,2243.664802,5.609162005,237706.3333,380429.6021,676490,194,356462.5,452587.2308,676490,36435,0,0,0,0,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,7529843,144.2261147,0.531219575,2509947.667,4347083.22,7529527,43,3764785,5324149.195,7529527,43,0,0,0,0,43,0,43,43,7529527,0,7529527,7529527,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,9889624,178929.5528,217.8040338,4593.415699,60384.26935,2563165,0,13346.22402,102732.478,2563165,0,7008.649894,75566.83453,2601069,0,0,0,0,0,0,0,0,0,AUDIO
